trade_date,instrument,direction,contracts,entry_price,stop_points,trim1_points,trim2_points,trim1_hit,trim2_hit,gross_pnl,net_pnl,trades,wins,losses,breakeven_trades,win_rate,avg_risk,avg_reward,rr_ratio,trims,notes,largest_win,largest_loss,max_drawdown
2024-02-07,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,20.0,8.600000000000009,3,1,2,0,0.3333333333333333,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out, Stopped Out",96.2,-43.8,0.0
2024-02-08,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-02-09,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Trim 1 + BE, Stopped Out, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-02-12,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-80.0,-87.6,2,0,2,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-02-13,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-02-14,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-02-15,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-02-16,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.20000000000005,300.0,4,2,2,0,0.5,40.0,197.60000000000002,4.94,2,"Stopped Out, Full TP, Stopped Out, Target Hit (+$91.40)",296.2,-43.8,0.0
2024-02-19,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-02-20,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Full TP, Stopped Out, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-02-21,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Trim 1 + BE, Target Hit (+$203.80)",203.8,0.0,0.0
2024-02-22,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.2,300.0,4,2,2,0,0.5,40.0,197.6,4.9399999999999995,2,"Stopped Out, Stopped Out, Full TP, Target Hit (+$91.40)",296.2,-43.8,0.0
2024-02-23,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,220.0,201.00000000000003,5,3,2,0,0.6,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out, Trim 1 + BE, Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-02-26,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Trim 1 + BE, Stopped Out, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-02-27,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-02-28,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out",96.2,-43.8,0.0
2024-02-29,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.20000000000005,300.0,4,2,2,0,0.5,40.0,197.60000000000002,4.94,2,"Full TP, Stopped Out, Stopped Out, Target Hit (+$91.40)",296.2,-43.8,0.0
2024-03-01,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,20.0,8.600000000000009,3,1,2,0,0.3333333333333333,40.0,100.0,2.5,1,"Stopped Out, Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-03-04,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-03-05,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.2,300.0,4,2,2,0,0.5,40.0,197.6,4.9399999999999995,2,"Stopped Out, Trim 1 + BE, Stopped Out, Target Hit (+$291.40)",291.4,-43.8,0.0
2024-03-06,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Trim 1 + BE, Target Hit (+$203.80)",203.8,0.0,0.0
2024-03-07,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,20.0,8.600000000000009,3,1,2,0,0.3333333333333333,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out, Stopped Out",96.2,-43.8,0.0
2024-03-08,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Trim 1 + BE, Target Hit (+$203.80)",203.8,0.0,0.0
2024-03-11,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-120.0,-131.39999999999998,3,0,3,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-03-12,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,40.0,17.200000000000017,6,2,4,0,0.3333333333333333,40.0,100.0,2.5,1,"Stopped Out, Stopped Out, Trim 1 + BE, Stopped Out, Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-03-13,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,-100.0,-122.8,6,1,5,0,0.16666666666666666,40.0,100.0,2.5,1,"Stopped Out, Stopped Out, Stopped Out, Stopped Out, Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-03-14,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-03-15,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-120.0,-131.39999999999998,3,0,3,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-03-18,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,180.0,164.8,4,1,3,0,0.25,40.0,300.0,7.5,2,"Stopped Out, Stopped Out, Full TP, Stopped Out",296.2,-43.8,0.0
2024-03-19,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-03-20,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-03-21,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,160.0,148.60000000000002,3,2,1,0,0.6666666666666666,40.0,100.0,2.5,1,"Trim 1 + BE, Trim 1 + BE, Stopped Out",96.2,-43.8,0.0
2024-03-22,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Trim 1 + BE, Stopped Out, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-03-25,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,100.0,96.2,1,1,0,0,1.0,40.0,100.0,2.5,1,Trim 1 + BE,96.2,0.0,0.0
2024-03-26,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.2,300.0,4,2,2,0,0.5,40.0,197.6,4.9399999999999995,2,"Stopped Out, Stopped Out, Full TP, Target Hit (+$91.40)",296.2,-43.8,0.0
2024-03-27,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,3,0,0,1.0,40.0,103.8,2.5949999999999998,2,"Trim 1 + BE, Trim 1 + BE, Target Hit (+$107.60)",107.6,0.0,0.0
2024-03-28,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-80.0,-87.6,2,0,2,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-03-29,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Full TP, Stopped Out, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-04-01,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,-20.0,-35.19999999999999,4,1,3,0,0.25,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out, Stopped Out, Stopped Out",96.2,-43.8,0.0
2024-04-02,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out",96.2,-43.8,0.0
2024-04-03,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,-60.0,-78.99999999999999,5,1,4,0,0.2,40.0,100.0,2.5,1,"Stopped Out, Stopped Out, Stopped Out, Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-04-04,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-04-05,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-04-08,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,140.0,120.99999999999996,5,1,4,0,0.2,40.0,300.0,7.5,2,"Stopped Out, Full TP, Stopped Out, Stopped Out, Stopped Out",296.2,-43.8,0.0
2024-04-09,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-04-10,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,-20.0,-35.19999999999999,4,1,3,0,0.25,40.0,100.0,2.5,1,"Stopped Out, Trim 1 + BE, Stopped Out, Stopped Out",96.2,-43.8,0.0
2024-04-11,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Trim 1 + BE, Stopped Out, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-04-12,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.20000000000005,300.0,4,2,2,0,0.5,40.0,197.60000000000002,4.94,2,"Stopped Out, Full TP, Stopped Out, Target Hit (+$91.40)",296.2,-43.8,0.0
2024-04-15,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,100.0,96.2,1,1,0,0,1.0,40.0,100.0,2.5,1,Trim 1 + BE,96.2,0.0,0.0
2024-04-16,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out",96.2,-43.8,0.0
2024-04-17,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,180.0,164.79999999999995,4,1,3,0,0.25,40.0,300.0,7.5,2,"Full TP, Stopped Out, Stopped Out, Stopped Out",296.2,-43.8,0.0
2024-04-18,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,322.79999999999995,300.0,6,3,3,0,0.5,40.0,147.6,3.69,2,"Stopped Out, Trim 1 + BE, Trim 1 + BE, Stopped Out, Stopped Out, Target Hit (+$239.00)",238.99999999999997,-43.8,0.0
2024-04-19,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Trim 1 + BE, Stopped Out, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-04-22,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,180.0,164.8,4,1,3,0,0.25,40.0,300.0,7.5,2,"Stopped Out, Stopped Out, Stopped Out, Full TP",296.2,-43.8,0.0
2024-04-23,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,-20.0,-35.19999999999999,4,1,3,0,0.25,40.0,100.0,2.5,1,"Stopped Out, Stopped Out, Trim 1 + BE, Stopped Out",96.2,-43.8,0.0
2024-04-24,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-80.0,-87.6,2,0,2,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-04-25,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-120.0,-131.39999999999998,3,0,3,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-04-26,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Trim 1 + BE, Target Hit (+$203.80)",203.8,0.0,0.0
2024-04-29,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-04-30,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,280.0,260.99999999999994,5,2,3,0,0.4,40.0,200.0,5.0,2,"Full TP, Stopped Out, Stopped Out, Stopped Out, Trim 1 + BE",296.2,-43.8,0.0
2024-05-01,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Stopped Out, Trim 1 + BE, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-05-02,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,220.0,208.59999999999997,3,1,2,0,0.3333333333333333,40.0,300.0,7.5,2,"Full TP, Stopped Out, Stopped Out",296.2,-43.8,0.0
2024-05-03,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-05-06,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-05-07,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,322.8,300.0,6,3,3,0,0.5,40.0,147.6,3.69,2,"Stopped Out, Stopped Out, Full TP, Stopped Out, Trim 1 + BE, Target Hit (+$39.00)",296.2,-43.8,0.0
2024-05-08,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-80.0,-87.6,2,0,2,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-05-09,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-05-10,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Trim 1 + BE, Target Hit (+$203.80)",203.8,0.0,0.0
2024-05-13,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-05-14,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.2,300.0,4,2,2,0,0.5,40.0,197.6,4.9399999999999995,2,"Stopped Out, Stopped Out, Full TP, Target Hit (+$91.40)",296.2,-43.8,0.0
2024-05-15,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,319.0,300.0,5,3,2,0,0.6,40.0,133.0,3.325,2,"Stopped Out, Trim 1 + BE, Trim 1 + BE, Stopped Out, Target Hit (+$195.20)",195.2,-43.8,0.0
2024-05-16,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,220.0,208.59999999999997,3,1,2,0,0.3333333333333333,40.0,300.0,7.5,2,"Stopped Out, Full TP, Stopped Out",296.2,-43.8,0.0
2024-05-17,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-05-20,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,260.0,252.39999999999998,2,1,1,0,0.5,40.0,300.0,7.5,2,"Stopped Out, Full TP",296.2,-43.8,0.0
2024-05-21,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-05-22,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out",96.2,-43.8,0.0
2024-05-23,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,100.0,96.2,1,1,0,0,1.0,40.0,100.0,2.5,1,Trim 1 + BE,96.2,0.0,0.0
2024-05-24,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-05-27,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,319.00000000000006,300.0,5,2,3,0,0.4,40.0,219.50000000000003,5.487500000000001,2,"Full TP, Stopped Out, Stopped Out, Stopped Out, Target Hit (+$135.20)",296.2,-43.8,0.0
2024-05-28,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,260.0,252.39999999999998,2,1,1,0,0.5,40.0,300.0,7.5,2,"Full TP, Stopped Out",296.2,-43.8,0.0
2024-05-29,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,180.0,164.79999999999995,4,1,3,0,0.25,40.0,300.0,7.5,2,"Full TP, Stopped Out, Stopped Out, Stopped Out",296.2,-43.8,0.0
2024-05-30,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,140.0,121.00000000000001,5,1,4,0,0.2,40.0,300.0,7.5,2,"Stopped Out, Stopped Out, Stopped Out, Full TP, Stopped Out",296.2,-43.8,0.0
2024-05-31,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-06-03,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out",96.2,-43.8,0.0
2024-06-04,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Trim 1 + BE, Target Hit (+$203.80)",203.8,0.0,0.0
2024-06-05,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-06-06,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-80.0,-87.6,2,0,2,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-06-07,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,80.0,61.00000000000003,5,2,3,0,0.4,40.0,100.0,2.5,1,"Trim 1 + BE, Trim 1 + BE, Stopped Out, Stopped Out, Stopped Out",96.2,-43.8,0.0
2024-06-10,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,140.0,121.00000000000001,5,1,4,0,0.2,40.0,300.0,7.5,2,"Stopped Out, Stopped Out, Stopped Out, Full TP, Stopped Out",296.2,-43.8,0.0
2024-06-11,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Stopped Out, Trim 1 + BE, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-06-12,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.2,300.0,4,2,2,0,0.5,40.0,197.6,4.9399999999999995,2,"Stopped Out, Trim 1 + BE, Stopped Out, Target Hit (+$291.40)",291.4,-43.8,0.0
2024-06-13,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-06-14,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,100.0,96.2,1,1,0,0,1.0,40.0,100.0,2.5,1,Trim 1 + BE,96.2,0.0,0.0
2024-06-17,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-120.0,-131.39999999999998,3,0,3,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out, Stopped Out",0.0,-43.8,0.0
